"location","capacity","count","percent_of_total"
"Mississippi State Penitentiary","4760","4495","34.13%"
"Central Mississippi Correctional Facility","3233","3048","23.14%"
"South Mississippi Correctional Institution","2214","2102","15.96%"
"County Jails - Approved*","2295","1603","12.17%"
"County Jails - Unapproved**","0","219","1.66%"
"Community Work Centers","1816","1704","12.94%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","14318","13171","100.00%"
"Bolivar County Correctional Facility","250","244","8.94%"
"Carroll County Correctional Facility","250","250","9.16%"
"George County Correctional Facility","250","248","9.08%"
"Holmes County Correctional Facility","250","249","9.12%"
"Issaquena County Correctional Facility","250","248","9.08%"
"Jefferson County Correctional Facility","250","247","9.05%"
"Kemper County Correctional Facility","250","249","9.12%"
"Leake Correctional Facility","250","249","9.12%"
"Marion County Correctional Facility","250","247","9.05%"
"Stone County Correctional Facility","250","250","9.16%"
"Winston County Correctional Facility","250","249","9.12%"
"TOTAL REGIONAL FACILITIES","2750","2730","100.00%"
"Delta Correctional Facility","960","947","19.97%"
"East MS Correctional Facility","1000","876","18.48%"
"Marshall County Correctional Facility","1000","992","20.92%"
"Tallahatchie County Correctional Facility","128","127","2.68%"
"Walnut Grove Correctional Facility","1000","819","17.27%"
"Wilkinson County Correctional Facility","1000","980","20.67%"
"TOTAL PRIVATE PRISONS","5088","4741","100.00%"
"Community Trusties","24","19","0.08%"
"Emergency Suspension","0","0","0.00%"
"Pending File Review","0","303","1.24%"
"Court Order","0","0","0.00%"
"TOTAL CAPACITY & CUSTODY POPULATION","22180","20964","85.67%"
"Intensive Supervision Program","0","1426","5.83%"
"Earned Release Supervision Program","0","1711","6.99%"
"Medical Release","00","5","0.02%"
"TOTAL COMMUNITY CORRECTIONS","00","3142","12.84%"
"Other Custody","0","251","1.03%"
"Off-Grounds Medical (Hospital)","0","9","0.04%"
"At Large (Escapees & Walk-Aways)","0","106","0.43%"
"TOTAL","22180","24472","100.00%"
