"location","capacity","count","percent_of_total"
"Mississippi State Penitentiary","4,529","4,459","34.96%"
"Central Mississippi Correctional Facility","3,293","3,269","25.63%"
"South Mississippi Correctional Institution","2,066","1,925","15.09%"
"County Jails - Approved*","2,107","1,263","9.90%"
"County Jails - Unapproved**","0","71","0.56%"
"Community Work Centers","1,816","1,766","13.85%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","13,811","12,753","100.00%"
"Bolivar County Correctional Facility","294","292","9.61%"
"Carroll County Correctional Facility","280","277","9.11%"
"George County Correctional Facility","280","277","9.11%"
"Holmes County Correctional Facility","280","280","9.21%"
"Issaquena County Correctional Facility","274","271","8.92%"
"Jefferson County Correctional Facility","250","247","8.13%"
"Kemper County Correctional Facility","280","279","9.18%"
"Leake County Correctional Facility","280","280","9.21%"
"Marion County Correctional Facility","280","279","9.18%"
"Stone County Correctional Facility","280","280","9.21%"
"Winston County Correctional Facility","280","277","9.11%"
"TOTAL REGIONAL FACILITIES","3,058","3,039","100.00%"
"Delta Correctional Facility","972","954","19.90%"
"East MS Correctional Facility","1,000","851","17.75%"
"Marshall County Correctional Facility","1,000","993","20.71%"
"Tallahatchie County Correctional Facility","128","127","2.65%"
"Walnut Grove Correctional Facility","1,000","934","19.48%"
"Wilkinson County Correctional Facility","1,000","935","19.50%"
"TOTAL PRIVATE PRISONS","5,100","4,794","100.00%"
"Community Trusties","022","17","0.07%"
"Emergency Suspension","0","0","0.00%"
"Pending File Review","0","40","0.16%"
"Court Order","0","358","1.45%"
"TOTAL CAPACITY & CUSTODY POPULATION","21,991","21,001","85.25%"
"Intensive Supervision Program","0","1,549","6.29%"
"Earned Release Supervision Program","00","1,615","6.56%"
"Medical Release","0","10","0.04%"
"TOTAL COMMUNITY CORRECTIONS","00","3,174","12.88%"
"Other Custody","0","315","1.28%"
"Off-Grounds Medical (Hospital)","0","6","0.02%"
"At Large (Escapees & Walk-Aways)","0","139","0.56%"
"TOTAL","21,991","24,635","100.00%"
