"location","capacity","count","percent_of_total"
"Mississippi State Penitentiary","4760","4621","34.40%"
"Central Mississippi Correctional Facility","3233","3085","22.97%"
"South Mississippi Correctional Institution","2214","2142","15.95%"
"County Jails - Approved*","2203","1633","12.16%"
"County Jails - Unapproved**","0","243","1.81%"
"Community Work Centers","1816","1709","12.72%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","14226","13433","100.00%"
"Bolivar County Correctional Facility","250","248","9.06%"
"Carroll County Correctional Facility","250","250","9.13%"
"George County Correctional Facility","250","250","9.13%"
"Holmes County Correctional Facility","250","250","9.13%"
"Issaquena County Correctional Facility","250","246","8.98%"
"Jefferson County Correctional Facility","250","250","9.13%"
"Kemper County Correctional Facility","250","249","9.09%"
"Leake Correctional Facility","250","249","9.09%"
"Marion County Correctional Facility","250","246","8.98%"
"Stone County Correctional Facility","250","250","9.13%"
"Winston County Correctional Facility","250","250","9.13%"
"TOTAL REGIONAL FACILITIES","2750","2738","100.00%"
"Delta Correctional Facility (reopened 04-01-04)","960","956","20.12%"
"East MS Correctional Facility","1000","874","18.40%"
"Marshall County Correctional Facility","1000","990","20.84%"
"Tallahatchie County Correctional Facility","128","128","2.69%"
"Walnut Grove Correctional Facility","1000","820","17.26%"
"Wilkinson County Correctional Facility","1000","983","20.69%"
"TOTAL PRIVATE PRISONS","5088","4751","100.00%"
"Community Trusties","24","19","0.08%"
"Emergency Suspension","0","0","0.00%"
"Pending File Review","0","209","0.85%"
"Court Order","0","0","0.00%"
"TOTAL CAPACITY & CUSTODY POPULATION","22088","21150","86.14%"
"Intensive Supervision Program","0","1335","5.44%"
"Earned Release Supervision Program","0","1705","6.94%"
"Medical Release","0","3","0.01%"
"TOTAL COMMUNITY CORRECTIONS","0","3043","12.39%"
"Other Custody","0","247","1.01%"
"Off-Grounds Medical (Hospital)","0","8","0.03%"
"At Large (Escapees & Walk-Aways)","0","104","0.42%"
"TOTAL","22088","24552","100.00%"
