municipality,county,region,2010_pop
Jackson,"Hinds Cnty, Madison Cnty, Rankin Cnty",Central MS,173514
Gulfport,Harrison Cnty,Southern MS,71750
Southaven,Desoto Cnty,North Delta,51824
Hattiesburg,"Forrest Cnty, Lamar Cnty",Southern MS,45989
Biloxi,Harrison Cnty,Southern MS,44054
Meridian,Lauderdale Cnty,East Central MS,41148
Tupelo,Lee Cnty,Three Rivers,34546
Greenville,Washington Cnty,South Delta,34440
Olive Branch,Desoto Cnty,North Delta,33484
Horn Lake,Desoto Cnty,North Delta,26066
Clinton,Hinds Cnty,Central MS,25216
Columbus,Lowndes Cnty,Golden Triangle,25102
Pearl,Rankin Cnty,Central MS,25092
Madison,Madison Cnty,Central MS,24149
Ridgeland,Madison Cnty,Central MS,24047
Starkville,Oktibbeha Cnty,Golden Triangle,23888
Vicksburg,Warren Cnty,Central MS,23856
Pascagoula,Jackson Cnty,Southern MS,22392
Brandon,Rankin Cnty,Central MS,21705
Oxford,Lafayette Cnty,Three Rivers,19916
Gautier,Jackson Cnty,Southern MS,18572
Laurel,Jones Cnty,Southern MS,18540
Clarksdale,Coahoma Cnty,North Delta,17962
Ocean Springs,Jackson Cnty,Southern MS,17442
Greenwood,Leflore Cnty,North Central MS,16080
Natchez,Adams Cnty,Southwest MS,15792
Long Beach,Harrison Cnty,Southern MS,14792
Corinth,Alcorn Cnty,Northeast MS,14573
Hernando,Desoto Cnty,North Delta,14090
Moss Point,Jackson Cnty,Southern MS,13704
Canton,Madison Cnty,Central MS,13189
Grenada,Grenada Cnty,North Central MS,13092
McComb,Pike Cnty,Southwest MS,12790
Brookhaven,Lincoln Cnty,Southwest MS,12513
Cleveland,Bolivar Cnty,South Delta,12334
Byram,Hinds Cnty,Central MS,11489
D’Iberville,Harrison Cnty,Southern MS,11426
Yazoo City,Yazoo Cnty,Central MS,11403
West Point,Clay Cnty,Golden Triangle,11307
Picayune,Pearl River Cnty,Southern MS,10878
Indianola,Sunflower Cnty,South Delta,10683
Petal,Forrest Cnty,Southern MS,10454
Fulton,Itawamba Cnty,Three Rivers,9961
Bay St. Louis,Hancock Cnty,Southern MS,9260
Booneville,Prentiss Cnty,Northeast MS,8743
Diamondhead,Hancock Cnty,Southern MS,8425
Senatobia,Tate Cnty,North Delta,8165
New Albany,Union Cnty,Three Rivers,8034
Flowood,Rankin Cnty,Central MS,7823
Holly Springs,Marshall Cnty,Northeast MS,7699
Philadelphia,Neshoba Cnty,East Central MS,7477
Batesville,Panola Cnty,North Delta,7463
Kosciusko,Attala Cnty,North Central MS,7402
Amory,Monroe Cnty,Three Rivers,7316
Richland,Rankin Cnty,Central MS,6912
Louisville,Winston Cnty,Golden Triangle,6631
Columbia,Marion Cnty,Southern MS,6582
Waveland,Hancock Cnty,Southern MS,6435
Forest,Scott Cnty,East Central MS,5684
Pontotoc,Pontotoc Cnty,Three Rivers,5625
Aberdeen,Monroe Cnty,Three Rivers,5612
Ripley,Tippah Cnty,Northeast MS,5395
Carthage,Leake Cnty,East Central MS,5075
Crystal Springs,Copiah Cnty,Central MS,5044
Waynesboro,Wayne Cnty,Southern MS,5043
Winona,Montgomery Cnty,North Central MS,5043
Saltillo,Lee Cnty,Three Rivers,4752
Pass Christian,Harrison Cnty,Southern MS,4613
Leland,Washington Cnty,South Delta,4481
Ellisville,Jones Cnty,Southern MS,4448
Magee,Simpson Cnty,Central MS,4408
Wiggins,Stone Cnty,Southern MS,4390
Florence,Rankin Cnty,Central MS,4141
Hazlehurst,Copiah Cnty,Central MS,4009
Houston,Chickasaw Cnty,Three Rivers,3623
Tutwiler,Tallahatchie Cnty,North Delta,3550
Morton,Scott Cnty,East Central MS,3462
Water Valley,Yalobusha Cnty,North Central MS,3392
Newton,Newton Cnty,East Central MS,3373
Baldwyn,"Lee Cnty,Prentiss Cnty","Three Rivers,Northeast MS",3297
Ruleville,Sunflower Cnty,South Delta,3007
Lucedale,George Cnty,Southern MS,2923
