county,municipalities,judicial_district
Adams,Natchez,6
Alcorn,"Corinth,Farmington,Glen,Kossuth,Rienzi",1
Amite,"Centreville,Crosby,Gloster,Liberty",6
Attala,"Ethel,Kosciusko,McCool,Sallis",5
Benton,"Ashland,Hickory Flat,Snow Lake Shores",3
Bolivar,"Alligator,Benoit,Beulah,Boyle,Cleveland,Duncan,Gunnison,Merigold,Mound Bayou,Pace,Renova,Rosedale,Shaw,Shelby,Winstonville",11
Calhoun,"Big Creek,Bruce,Calhoun City,Derma,Pittsboro,Slate Springs,Vardaman",3
Carroll,"Carrollton,North Carrollton,Vaiden",5
Chickasaw,"Houston,New Houlka,Okolona,Woodland",3
Choctaw,"Ackerman,French Camp,Mathiston,Weir",5
Claiborne,Port Gibson,22
Clarke,"Enterprise,Pachuta,Quitman,Shubuta,Stonewall",10
Clay,West Point,16
Coahoma,"Clarksdale,Coahoma,Friars Point,Jonestown,Lula,Lyon",11
Copiah,"Beauregard,Crystal Springs,Georgetown,Hazlehurst,Wesson",22
Covington,"Collins,Mount Olive,Seminary",13
DeSoto,"Hernando,Horn Lake,Olive Branch,Southaven,Walls",17
Forrest,"Hattiesburg,Petal",12
Franklin,"Bude,Meadville,Roxie",6
George,Lucedale,19
Greene,"Leakesville,McLain,State Line",19
Grenada,Grenada,5
Hancock,"Bay St. Louis,Diamondhead,Waveland",2
Harrison,"Biloxi,D’Iberville,Gulfport,Long Beach,Pass Christian",2
Hinds,"Bolton,Byram,Clinton,Edwards,Jackson,Learned,Raymond,Terry,Utica",7
Holmes,"Cruger,Durant,Goodman,Lexington,Pickens,Tchula,West",21
Humphreys,"Belzoni,Isola,Louise,Silver City",21
Issaquena,Mayersville,9
Itawamba,"Fulton,Mantachie,Tremont",1
Jackson,"Gautier,Moss Point,Ocean Springs,Pascagoula",19
Jasper,"Bay Springs,Heidelberg,Louin,Montrose",13
Jefferson,Fayette,22
Jefferson Davis,"Bassfield,Prentiss",15
Jones,"Ellisville,Laurel,Sandersville,Soso",18
Kemper,"DeKalb,Scooba",10
Lafayette,"Abbeville,Oxford,Taylor",3
Lamar,"Lumberton,Purvis,Sumrall,Hattiesburg",15
Lauderdale,"Marion,Meridian",10
Lawrence,"Monticello,New Hebron,Silver Creek",15
Leake,"Carthage,Lena,Walnut Grove,Sebastopol",8
Lee,"Baldwyn,Guntown,Nettleton,Plantersville,Saltillo,Shannon,Sherman,Tupelo,Verona",1
Leflore,"Greenwood,Itta Bena,Morgan City,Schlater,Sidon",4
Lincoln,"Brookhaven,Wesson",14
Lowndes,"Artesia,Caledonia,Columbus,Crawford",16
Madison,"Canton,Flora,Madison,Ridgeland,Jackson",20
Marion,Columbia,15
Marshall,"Byhalia,Holly Springs,Potts Camp",3
Monroe,"Aberdeen,Amory,Gattman,Hatley,Smithville,Nettleton",1
Montgomery,"Duck Hill,Kilmichael,Winona",5
Neshoba,"Philadelphia,Union",8
Newton,"Chunky,Decatur,Hickory,Lake,Newton,Union",8
Noxubee,"Brooksville,Macon,Shuqualak",16
Oktibbeha,"Maben,Starkville,Sturgis",16
Panola,"Batesville,Como,Courtland,Crenshaw,Crowder,Pope,Sardis",17
Pearl River,"Picayune,Poplarville,Lumberton",15
Perry,"Beaumont,New Augusta,Richton",12
Pike,"McComb,Magnolia,Osyka,Summit",14
Pontotoc,"Algoma,Ecru,Pontotoc,Thaxton,Toccopola,Sherman",1
Prentiss,"Booneville,Jumpertown,Marietta,Baldwyn",1
Quitman,"Falcon,Lambert,Marks,Sledge,Crowder,Crenshaw",11
Rankin,"Brandon,Florence,Flowood,Pearl,Pelahatchie,Puckett,Richland,Jackson",20
Scott,"Forest,Morton,Sebastopol,Lake",8
Sharkey,"Anguilla,Cary,Rolling Fork",9
Simpson,"Braxton,D’Lo,Magee,Mendenhall",13
Smith,"Mize,Polkville,Raleigh,Sylvarena,Taylorsville",13
Stone,Wiggins,2
Sunflower,"Doddsville,Drew,Indianola,Inverness,Moorhead,Ruleville,Sunflower,Shaw",4
Tallahatchie,"Charleston,Glendora,Sumner,Tutwiler,Webb",17
Tate,"Coldwater,Senatobia",17
Tippah,"Blue Mountain,Dumas,Falkner,Ripley,Walnut",3
Tishomingo,"Belmont,Burnsville,Golden,Iuka,Paden,Tishomingo",1
Tunica,Tunica,11
Union,"Blue Springs,Myrtle,New Albany,Sherman",3
Walthall,Tylertown,14
Warren,Vicksburg,9
Washington,"Arcola,Greenville,Hollandale,Leland,Metcalfe",4
Wayne,"Waynesboro,State Line",10
Webster,"Eupora,Mantee,Walthall,Mathiston,Maben",5
Wilkinson,"Woodville,Crosby,Centreville",6
Winston,"Louisville,Noxapater",5
Yalobusha,"Coffeeville,Oakland,Tillatoba,Water Valley",17
Yazoo,"Bentonia,Eden,Satartia,Yazoo City",21
