county,position,name,address,alt address,phone,alt phone,fax,alt fax,email
Stone County,Chancery Court Judge (D-8),"Sanford (""Sandy"") Steckler","PO Box 659, Gulfport 39502",,(228) 865-4008,,,,
Stone County,Chancery Court Judge (D-8),Jim Persons,"PO Box 457, Gulfport 39502",,(228) 865-4096,,,,
Stone County,Chancery Court Judge (D-8),Jennifer Schoegel,"PO Box 986, Gulfport 39502",,(228) 865-4008,,,,
Stone County,Chancery Court Judge (D-8),Carter Bise,"PO Box 1542, Gulfport 39502 ",,(228) 865-4008,,,,
Yazoo County,Chancery Court Judge (D-11),Robert G. Clark III,"PO Box 39, Lexington 39095",,(662) 834-1285,,,,
Lauderdale County,Chancery Court Judge (D-12),Jerry G. Mason,"PO Box 5681, Meridian 39302-5681",,(601) 482-9729,,,,
Lauderdale County,Chancery Court Judge (D-12),Larry Primeaux,"PO Box 5165, Meridian 39302-5165",,(601) 482-9729,,,,
Marion County,Chancery Court Judge,Rhea H. Sheldon,"250 Broad St,Ste 12, Columbia 39429.",,(601) 736-2220,,,,
Marion County,Chancery Court Judge,Johnny L. Williams,"PO Box 1664, Hattiesburg 39403-1664.",,(601) 545-6037,,,,
Marion County,Chancery Court Judge,M. Ronald Doleac,"PO Box 872, Hattiesburg 39403-0872",,(601) 544-2836,,,,
Marion County,Chancery Court Judge,Deborah J. Gabrell,"PO Box 807, Hattiesburg 39403-0807",,(601) 545-6028,,,,
