"RACE","MALE","% OF TOTAL MALE POPULATION","FEMALE","% OF TOTAL FEMALE POPULATION","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Black","12,287","64.18%","612","35.62%","12,899","61.83%"
"White","6,585","34.40%","1,082","62.98%","7,667","36.75%"
"Hispanic","192","1.00%","15",".87%","207",".99%"
"Native American","25",".13%","4",".23%","29",".14%"
"Asian","43",".22%","4",".23%","47",".23%"
"Data Unavailable","12",".06%","1",".06%","13",".06%"
"TOTAL","19,144","100.00%","1,718","100.00%","20,862","100.00%"
