"RACE","MALE","% OF TOTAL MALE POPULATION","FEMALE","% OF TOTAL FEMALE POPULATION","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Black","15,094","67.19%","900","41.74%","15,994","64.96%"
"White","7,093","31.57%","1,237","57.37%","8,330","33.83%"
"Hispanic","208",".93%","12",".56%","220",".89%"
"Native American","30",".13%","5",".23%","35",".14%"
"Asian","32",".14%","2",".09%","34",".14%"
"Data Unavailable","9",".04%","0",".00%","9",".04%"
"TOTAL","22,466","100.00%","2,156","100.00%","24,622","100.00%"
