"RACE","MALE","% OF TOTAL MALE POPULATION","FEMALE","% OF TOTAL FEMALE POPULATION","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Black","15,309","67.04%","917","40.79%","16,226","64.69%"
"White","7,246","31.73%","1,309","58.23%","8,555","34.11%"
"Hispanic","205",".90%","13",".58%","218",".87%"
"Native American","27",".12%","5",".22%","32",".13%"
"Asian","35",".15%","3",".13%","38",".15%"
"Data Unavailable","14",".06%","1",".04%","15",".06%"
"TOTAL","22,836","100.00%","2,248","100.00%","25,084","100.00%"
