"RACE","MALE","% OF TOTAL MALE POPULATION","FEMALE","% OF TOTAL FEMALE POPULATION","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Black","14,878","69.85%","1,217","54.82%","16,095","68.43%"
"White","6,261","29.39%","983","44.28%","7,244","30.80%"
"Hispanic","113","0.53%","9","0.41%","122","0.52%"
"Native American","21","0.10%","4","0.18%","25","0.11%"
"Asian","28","0.13%","7","0.32%","35","0.15%"
"Data Unavailable","1","0.00%","0","0.00%","1","0.00%"
"TOTAL","21,301","100.00%","2,220","100.00%","23,521","100.00%"
