"RACE","MALE","% OF TOTAL MALE POPULATION","FEMALE","% OF TOTAL FEMALE POPULATION","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Black","15,142","67.42%","950","44.08%","16,092","65.38%"
"White","7,031","31.31%","1,183","54.90%","8,214","33.37%"
"Hispanic","208",".93%","13",".60%","221",".90%"
"Native American","32",".14%","7",".32%","39",".16%"
"Asian","35",".16%","2",".09%","37",".15%"
"Data Unavailable","10",".04%","0",".00%","10",".04%"
"TOTAL","22,458","100.00%","2,155","100.00%","24,613","100.00%"
