"RACE","MALE","% OF TOTAL MALE POPULATION","FEMALE","% OF TOTAL FEMALE POPULATION","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Black","15,872","68.72%","1,238","49.26%","17,110","66.81%"
"White","6,920","29.96%","1,249","49.70%","8,169","31.90%"
"Hispanic","207","0.90%","13","0.52%","220","0.86%"
"Native American","20","0.09%","5","0.20%","25","0.10%"
"Asian","48","0.21%","3","0.12%","51","0.20%"
"Data Unavailable","31","0.13%","5","0.20%","36","0.14%"
"TOTAL","23,098","100.00%","2,513","100.00%","25,611","100.00%"
