"RACE","MALE","% OF TOTAL MALE POPULATION","FEMALE","% OF TOTAL FEMALE POPULATION","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Black","16,366","69.08%","1,311","50.77%","17,677","67.28%"
"White","7,030","29.67%","1,239","47.99%","8,269","31.47%"
"Hispanic","222","0.94%","14","0.54%","236","0.90%"
"Native American","23","0.10%","4","0.15%","27","0.10%"
"Asian","35","0.15%","8","0.31%","43","0.16%"
"Data Unavailable","16","0.07%","6","0.23%","22","0.08%"
"TOTAL","23,692","100.00%","2,582","100.00%","26,274","100.00%"
