"RACE","MALE","% OF TOTAL MALE POPULATION","FEMALE","% OF TOTAL FEMALE POPULATION","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Black","15,308","68.64%","1,176","49.64%","16,484","66.81%"
"White","6,745","30.24%","1,168","49.30%","7,913","32.07%"
"Hispanic","166","0.74%","14","0.59%","180","0.73%"
"Native American","24","0.11%","2","0.08%","26","0.11%"
"Asian","33","0.15%","4","0.17%","37","0.15%"
"Data Unavailable","27","0.12%","5","0.21%","32","0.13%"
"TOTAL","22,303","100.00%","2,369","100.00%","24,672","100.00%"
