"RACE","MALE","% OF TOTAL MALE POPULATION","FEMALE","% OF TOTAL FEMALE POPULATION","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Black","16,284","68.94%","1,252","50.85%","17,536","67.24%"
"White","7,027","29.75%","1,184","48.09%","8,211","31.48%"
"Hispanic","235","0.99%","15","0.61%","250","0.96%"
"Native American","23","0.10%","4","0.16%","27","0.10%"
"Asian","39","0.17%","4","0.16%","43","0.16%"
"Data Unavailable","11","0.05%","3","0.12%","14","0.05%"
"TOTAL","23,619","100.00%","2,462","100.00%","26,081","100.00%"
