"RACE","MALE","% OF TOTAL MALE POPULATION","FEMALE","% OF TOTAL FEMALE POPULATION","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Black","14,717","66.74%","900","42.80%","15,617","64.65%"
"White","7,039","31.92%","1,177","55.97%","8,216","34.01%"
"Hispanic","213",".97%","17",".81%","230",".95%"
"Native American","29",".13%","5",".24%","34",".14%"
"Asian","47",".21%","3",".14%","50",".21%"
"Data Unavailable","7",".03%","1",".05%","8",".03%"
"TOTAL","22,052","100.00%","2,103","100.00%","24,155","100.00%"
