"RACE","MALE","% OF TOTAL MALE POPULATION","FEMALE","% OF TOTAL FEMALE POPULATION","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Black","13,644","68.15%","675","42.21%","14,319","66.23%"
"White","6,171","30.82%","908","56.79%","7,079","32.74%"
"Hispanic","152",".76%","10",".63%","162",".75%"
"Native American","19",".09%","2",".13%","21",".10%"
"Asian","29",".14%","4",".25%","33",".15%"
"Data Unavailable","5",".02%","0",".00%","5",".02%"
"TOTAL","20,020","100.00%","1,599","100.00%","21,619","100.00%"
