"RACE","MALE","% OF TOTAL MALE POPULATION","FEMALE","% OF TOTAL FEMALE POPULATION","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Black","15,172","67.61%","952","44.55%","16,124","65.61%"
"White","6,979","31.10%","1,161","54.33%","8,140","33.12%"
"Hispanic","212",".94%","14",".66%","226",".92%"
"Native American","33",".15%","7",".33%","40",".16%"
"Asian","35",".16%","3",".14%","38",".15%"
"Data Unavailable","9",".04%","0",".00%","9",".04%"
"TOTAL","22,440","100.00%","2,137","100.00%","24,577","100.00%"
