"RACE","MALE","% OF TOTAL MALE POPULATION","FEMALE","% OF TOTAL FEMALE POPULATION","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Black","12,452","63.85%","615","35.55%","13,067","61.55%"
"White","6,750","34.61%","1,086","62.77%","7,836","36.91%"
"Hispanic","206","1.06%","16",".92%","222","1.05%"
"Native American","28",".14%","6",".35%","34",".16%"
"Asian","56",".29%","5",".29%","61",".29%"
"Data Unavailable","9",".05%","2",".12%","11",".05%"
"TOTAL","19,501","100.00%","1,730","100.00%","21,231","100.00%"
