"RACE","MALE","% OF TOTAL MALE POPULATION","FEMALE","% OF TOTAL FEMALE POPULATION","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Black","16,422","68.97%","1,317","50.89%","17,739","67.20%"
"White","7,078","29.73%","1,239","47.87%","8,317","31.50%"
"Hispanic","234","0.98%","13","0.50%","247","0.94%"
"Native American","23","0.10%","4","0.15%","27","0.10%"
"Asian","36","0.15%","8","0.31%","44","0.17%"
"Data Unavailable","18","0.08%","7","0.27%","25","0.09%"
"TOTAL","23,811","100.00%","2,588","100.00%","26,399","100.00%"
