"RACE","MALE","% OF TOTAL MALE POPULATION","FEMALE","% OF TOTAL FEMALE POPULATION","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Black","15,910","68.76%","1,257","49.27%","17,167","66.82%"
"White","6,934","29.97%","1,268","49.71%","8,202","31.93%"
"Hispanic","209","0.90%","12","0.47%","221","0.86%"
"Native American","18","0.08%","5","0.20%","23","0.09%"
"Asian","46","0.20%","4","0.16%","50","0.19%"
"Data Unavailable","22","0.10%","5","0.20%","27","0.11%"
"TOTAL","23,139","100.00%","2,551","100.00%","25,690","100.00%"
