"RACE","MALE","% OF TOTAL MALE POPULATION","FEMALE","% OF TOTAL FEMALE POPULATION","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Black","15,061","67.07%","923","42.77%","15,984","64.94%"
"White","7,108","31.65%","1,216","56.35%","8,324","33.82%"
"Hispanic","210",".94%","11",".51%","221",".90%"
"Native American","31",".14%","5",".23%","36",".15%"
"Asian","34",".15%","2",".09%","36",".15%"
"Data Unavailable","11",".05%","1",".05%","12",".05%"
"TOTAL","22,455","100.00%","2,158","100.00%","24,613","100.00%"
