"RACE","MALE","% OF TOTAL MALE POPULATION","FEMALE","% OF TOTAL FEMALE POPULATION","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Black","15,437","67.19%","923","41.02%","16,360","64.86%"
"White","7,253","31.57%","1,303","57.91%","8,556","33.92%"
"Hispanic","208",".91%","14",".62%","222",".88%"
"Native American","29",".13%","5",".22%","34",".13%"
"Asian","34",".15%","4",".18%","38",".15%"
"Data Unavailable","14",".06%","1",".04%","15",".06%"
"TOTAL","22,975","100.00%","2,250","100.00%","25,225","100.00%"
