"RACE","MALE","% OF TOTAL MALE POPULATION","FEMALE","% OF TOTAL FEMALE POPULATION","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Black","13,814","67.80%","690","41.64%","14,504","65.83%"
"White","6,351","31.17%","953","57.51%","7,304","33.15%"
"Hispanic","156",".77%","9",".54%","165",".75%"
"Native American","16",".08%","3",".18%","19",".09%"
"Asian","31",".15%","1",".06%","32",".15%"
"Data Unavailable","6",".03%","1",".06%","7",".03%"
"TOTAL","20,374","100.00%","1,657","100.00%","22,031","100.00%"
