"RACE","MALE","% OF TOTAL MALE POPULATION","FEMALE","% OF TOTAL FEMALE POPULATION","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Black","15,103","67.13%","905","41.69%","16,008","64.89%"
"White","7,106","31.59%","1,246","57.39%","8,352","33.86%"
"Hispanic","212",".94%","12",".55%","224",".91%"
"Native American","29",".13%","5",".23%","34",".14%"
"Asian","35",".16%","2",".09%","37",".15%"
"Data Unavailable","12",".05%","1",".05%","13",".05%"
"TOTAL","22,497","100.00%","2,171","100.00%","24,668","100.00%"
