"RACE","MALE","% OF TOTAL MALE POPULATION","FEMALE","% OF TOTAL FEMALE POPULATION","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Black","15,337","68.08%","1,056","46.64%","16,393","66.12%"
"White","6,906","30.65%","1,186","52.39%","8,092","32.64%"
"Hispanic","220","0.98%","15","0.66%","235","0.95%"
"Native American","24","0.11%","6","0.27%","30","0.12%"
"Asian","31","0.14%","1","0.04%","32","0.13%"
"Data Unavailable","11","0.05%","0","0.00%","11","0.04%"
"TOTAL","22,529","100.00%","2,264","100.00%","24,793","100.00%"
