"RACE","MALE","% OF TOTAL MALE POPULATION","FEMALE","% OF TOTAL FEMALE POPULATION","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Black","15,266","68.16%","1,035","46.06%","16,301","66.14%"
"White","6,853","30.60%","1,188","52.87%","8,041","32.63%"
"Hispanic","214","0.96%","15","0.67%","229","0.93%"
"Native American","24","0.11%","6","0.27%","30","0.12%"
"Asian","30","0.13%","2","0.09%","32","0.13%"
"Data Unavailable","11","0.05%","1","0.04%","12","0.05%"
"TOTAL","22,398","100.00%","2,247","100.00%","24,645","100.00%"
