"RACE","MALE","% OF TOTAL MALE POPULATION","FEMALE","% OF TOTAL FEMALE POPULATION","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Black","15,021","67.17%","914","43.40%","15,935","65.13%"
"White","7,047","31.51%","1,171","55.60%","8,218","33.59%"
"Hispanic","213",".95%","11",".52%","224",".92%"
"Native American","33",".15%","7",".33%","40",".16%"
"Asian","37",".17%","2",".09%","39",".16%"
"Data Unavailable","11",".05%","1",".05%","12",".05%"
"TOTAL","22,362","100.00%","2,106","100.00%","24,468","100.00%"
