"RACE","MALE","% OF TOTAL MALE POPULATION","FEMALE","% OF TOTAL FEMALE POPULATION","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Black","15,661","68.61%","1,230","49.86%","16,891","66.78%"
"White","6,887","30.17%","1,210","49.05%","8,097","32.01%"
"Hispanic","188","0.82%","14","0.57%","202","0.80%"
"Native American","26","0.11%","5","0.20%","31","0.12%"
"Asian","39","0.17%","5","0.20%","44","0.17%"
"Data Unavailable","26","0.11%","3","0.12%","29","0.11%"
"TOTAL","22,827","100.00%","2,467","100.00%","25,294","100.00%"
