"RACE","MALE","% OF TOTAL MALE POPULATION","FEMALE","% OF TOTAL FEMALE POPULATION","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Black","12,321","64.13%","614","35.61%","12,935","61.78%"
"White","6,610","34.40%","1,085","62.94%","7,695","36.75%"
"Hispanic","203","1.06%","13",".75%","216","1.03%"
"Native American","26",".14%","5",".29%","31",".15%"
"Asian","43",".22%","4",".23%","47",".22%"
"Data Unavailable","11",".06%","3",".17%","14",".07%"
"TOTAL","19,214","100.00%","1,724","100.00%","20,938","100.00%"
