"RACE","MALE","% OF TOTAL MALE POPULATION","FEMALE","% OF TOTAL FEMALE POPULATION","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Black","13,675","68.01%","669","41.68%","14,344","66.07%"
"White","6,221","30.94%","920","57.32%","7,141","32.89%"
"Hispanic","160",".80%","11",".69%","171",".79%"
"Native American","16",".08%","3",".19%","19",".09%"
"Asian","30",".15%","2",".12%","32",".15%"
"Data Unavailable","4",".02%","0",".00%","4",".02%"
"TOTAL","20,106","100.00%","1,605","100.00%","21,711","100.00%"
