"RACE","MALE","% OF TOTAL MALE POPULATION","FEMALE","% OF TOTAL FEMALE POPULATION","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Black","15,454","68.84%","1,199","51.22%","16,653","67.18%"
"White","6,772","30.17%","1,119","47.80%","7,891","31.83%"
"Hispanic","149","0.66%","8","0.34%","157","0.63%"
"Native American","22","0.10%","4","0.17%","26","0.10%"
"Asian","36","0.16%","7","0.30%","43","0.17%"
"Data Unavailable","16","0.07%","4","0.17%","20","0.08%"
"TOTAL","22,449","100.00%","2,341","100.00%","24,790","100.00%"
