"RACE","MALE","% OF TOTAL MALE POPULATION","FEMALE","% OF TOTAL FEMALE POPULATION","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Black","15,146","67.58%","960","44.90%","16,106","65.61%"
"White","6,974","31.12%","1,152","53.88%","8,126","33.10%"
"Hispanic","216",".96%","15",".70%","231",".94%"
"Native American","34",".15%","8",".37%","42",".17%"
"Asian","32",".14%","3",".14%","35",".14%"
"Data Unavailable","9",".04%","0",".00%","9",".04%"
"TOTAL","22,411","100.00%","2,138","100.00%","24,549","100.00%"
