"RACE","MALE","% OF TOTAL MALE POPULATION","FEMALE","% OF TOTAL FEMALE POPULATION","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Black","15,676","68.67%","1,225","49.78%","16,901","66.83%"
"White","6,871","30.10%","1,209","49.13%","8,080","31.95%"
"Hispanic","185","0.81%","15","0.61%","200","0.79%"
"Native American","28","0.12%","3","0.12%","31","0.12%"
"Asian","38","0.17%","5","0.20%","43","0.17%"
"Data Unavailable","30","0.13%","4","0.16%","34","0.13%"
"TOTAL","22,828","100.00%","2,461","100.00%","25,289","100.00%"
