"RACE","MALE","% OF TOTAL MALE POPULATION","FEMALE","% OF TOTAL FEMALE POPULATION","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Black","15,141","69.01%","1,189","50.40%","16,330","67.20%"
"White","6,563","29.91%","1,146","48.58%","7,709","31.72%"
"Hispanic","159","0.72%","13","0.55%","172","0.71%"
"Native American","23","0.10%","3","0.13%","26","0.11%"
"Asian","37","0.17%","5","0.21%","42","0.17%"
"Data Unavailable","18","0.08%","3","0.13%","21","0.09%"
"TOTAL","21,941","100.00%","2,359","100.00%","24,300","100.00%"
