"RACE","MALE","% OF TOTAL MALE POPULATION","FEMALE","% OF TOTAL FEMALE POPULATION","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Black","14,413","71.26%","1,173","59.27%","15,586","70.19%"
"White","5,692","28.14%","790","39.92%","6,482","29.19%"
"Hispanic","80","0.40%","8","0.40%","88","0.40%"
"Native American","22","0.11%","4","0.20%","26","0.12%"
"Asian","18","0.09%","4","0.20%","22","0.10%"
"Data Unavailable","1","0.00%","","0.00%","1","0.00%"
"TOTAL","20,226","100.00%","1,979","100.00%","22,205","100.00%"
