"RACE","MALE","% OF TOTAL MALE POPULATION","FEMALE","% OF TOTAL FEMALE POPULATION","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Black","15,287","68.90%","1,208","50.57%","16,495","67.12%"
"White","6,656","30.00%","1,156","48.39%","7,812","31.79%"
"Hispanic","160","0.72%","14","0.59%","174","0.71%"
"Native American","23","0.10%","3","0.13%","26","0.11%"
"Asian","42","0.19%","5","0.21%","47","0.19%"
"Data Unavailable","18","0.08%","3","0.13%","21","0.09%"
"TOTAL","22,186","100.00%","2,389","100.00%","24,575","100.00%"
