"RACE","MALE","% OF TOTAL MALE POPULATION","FEMALE","% OF TOTAL FEMALE POPULATION","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Black","15,359","68.84%","1,217","50.84%","16,576","67.09%"
"White","6,714","30.09%","1,151","48.08%","7,865","31.83%"
"Hispanic","157","0.70%","14","0.58%","171","0.69%"
"Native American","23","0.10%","3","0.13%","26","0.11%"
"Asian","42","0.19%","6","0.25%","48","0.19%"
"Data Unavailable","17","0.08%","3","0.13%","20","0.08%"
"TOTAL","22,312","100.00%","2,394","100.00%","24,706","100.00%"
