"PAROLE STATISTICS","","","","","",""
"BY RACE AND SEX","","","","","",""
"RACE","MALE","% OF TOTAL MALE POPULATION","FEMALE","% OF TOTAL FEMALE POPULATION","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Black","4,648","59.14%","360","28.50%","5,008","54.90%"
"White","3,136","817.00%","893","70.70%","4,029","44.17%"
"Hispanic","37",".47%","3",".24%","40",".44%"
"Native American","11",".14%","2",".16%","13",".14%"
"Asian","26",".33%","4",".32%","30",".33%"
"Data Unavailable","1",".01%","1",".08%","2",".02%"
"TOTAL","7,859","100.00%","1,263","100.00%","9,122","100.00%"
