"PROBATION STATISTICS","","","","","",""
"BY RACE AND SEX","","","","","",""
"RACE","MALE","% OF TOTAL MALE POPULATION","FEMALE","% OF TOTAL FEMALE POPULATION","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Black","10,258","57.55%","2,338","46.28%","12,596","55.06%"
"White","7,075","39.69%","2,595","51.37%","9,670","42.27%"
"Hispanic","179","1.00%","21","0.42%","200","0.87%"
"Native American","23","0.13%","","0.08%","27","0.12%"
"Asian","47","0.26%","84","0.16%","55","0.24%"
"Data Unavailable","242","1.36%","86","1.70%","328","1.43%"
"TOTAL","17,824","100.00%","5,052","100.00%","22,876","100.00%"
