"PROBATION STATISTICS","","","","","",""
"BY RACE AND SEX","","","","","",""
"RACE","MALE","% OF TOTAL MALE POPULATION","FEMALE","% OF TOTAL FEMALE POPULATION","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Black","10,818","58.68%","2,821","50.88%","13,639","56.88%"
"White","7,236","39.25%","2,605","46.99%","9,841","41.04%"
"Hispanic","131","0.71%","21","0.38%","152","0.63%"
"Native American","22","0.12%","5","0.09%","27","0.11%"
"Asian","46","0.25%","18","0.32%","64","0.27%"
"Data Unavailable","183","0.99%","74","1.33%","257","1.07%"
"TOTAL","18,436","100.00%","5,544","100.00%","23,980","100.00%"
