"PROBATION STATISTICS","","","","","",""
"BY RACE AND SEX","","","","","",""
"RACE","MALE","% OF TOTAL MALE POPULATION","FEMALE","% OF TOTAL FEMALE POPULATION","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Black","12,507","59.81%","3,068","48.52%","15,575","57.19%"
"White","8,066","38.57%","3,164","50.04%","11,230","41.23%"
"Hispanic","145",".69%","23",".36%","168",".62%"
"Native American","14",".07%","10",".16%","24",".09%"
"Asian","65",".31%","15",".24%","80",".29%"
"Data Unavailable","115",".55%","43",".68%","158",".58%"
"TOTAL","20,912","100.00%","6,323","100.00%","27,235","100.00%"
