"PROBATION STATISTICS","","","","","",""
"BY RACE AND SEX","","","","","",""
"RACE","MALE","% OF TOTAL MALE POPULATION","FEMALE","% OF TOTAL FEMALE POPULATION","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Black","10,102","57.73%","2,298","45.64%","12,400","55.03%"
"White","6,908","39.48%","2,606","51.76%","9,514","42.22%"
"Hispanic","159","0.91%","19","0.38%","178","0.79%"
"Native American","20","0.11%","","0.10%","25","0.11%"
"Asian","40","0.23%","65","0.12%","46","0.20%"
"Data Unavailable","269","1.54%","101","2.01%","370","1.64%"
"TOTAL","17,498","100.00%","5,035","100.00%","22,533","100.00%"
