"PROBATION STATISTICS","","","","","",""
"BY RACE AND SEX","","","","","",""
"RACE","MALE","% OF TOTAL MALE POPULATION","FEMALE","% OF TOTAL FEMALE POPULATION","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Black","13,043","59.85%","3,123","48.05%","16,166","57.14%"
"White","8,427","38.67%","3,296","50.72%","11,723","41.43%"
"Hispanic","154",".71%","26",".40%","180",".64%"
"Native American","21",".10%","7",".11%","28",".10%"
"Asian","59",".27%","17",".26%","76",".27%"
"Data Unavailable","90",".41%","30",".46%","120",".42%"
"TOTAL","21,794","100.00%","6,499","100.00%","28,293","100.00%"
