"RACE","MALE","% OF TOTAL MALE POPULATION","FEMALE","% OF TOTAL FEMALE POPULATION","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Black","7,408","59.95%","1,915","55.68%","9,323","59.02%"
"White","4,740","38.36%","1,496","43.50%","6,236","39.48%"
"Hispanic","46","0.37%","12","0.35%","58","0.37%"
"Native American","31","0.25%","5","0.15%","36","0.23%"
"Asian","38","0.31%","11","0.32%","49","0.31%"
"Data Unavailable","94","0.76%","0","0.00%","94","0.60%"
"TOTAL","12,357","100.00%","3,439","100.00%","15,796","100.00%"
