"RACE","MALE","% OF TOTAL MALE POPULATION","FEMALE","% OF TOTAL FEMALE POPULATION","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Black","7,290","60.36%","1,929","55.21%","9,219","59.20%"
"White","4,665","38.62%","1,525","43.65%","6,190","39.75%"
"Hispanic","48","0.40%","15","0.43%","63","0.40%"
"Native American","25","0.21%","6","0.17%","31","0.20%"
"Asian","36","0.30%","19","0.54%","55","0.35%"
"Data Unavailable","14","0.12%","0","0.00%","14","0.09%"
"TOTAL","12,078","100.00%","3,494","100.00%","15,572","100.00%"
