"RACE","MALE","% OF TOTAL MALE POPULATION","FEMALE","% OF TOTAL FEMALE POPULATION","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Black","7,401","60.13%","1,864","55.41%","9,265","59.12%"
"White","4,698","38.17%","1,472","43.76%","6,170","39.37%"
"Hispanic","46","0.37%","11","0.33%","57","0.36%"
"Native American","31","0.25%","4","0.12%","35","0.22%"
"Asian","36","0.29%","13","0.39%","49","0.31%"
"Data Unavailable","96","0.78%","0","0.00%","96","0.61%"
"TOTAL","12,308","100.00%","3,364","100.00%","15,672","100.00%"
