"PROBATION STATISTICS","","","","","",""
"BY RACE AND SEX","","","","","",""
"RACE","MALE","% OF TOTAL MALE POPULATION","FEMALE","% OF TOTAL FEMALE POPULATION","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Black","11,226","58.65%","2,754","49.12%","13,980","56.49%"
"White","7,444","38.89%","2,714","48.40%","10,158","41.04%"
"Hispanic","161","0.84%","23","0.41%","184","0.74%"
"Native American","30","0.16%","6","0.11%","36","0.15%"
"Asian","53","0.28%","11","0.20%","64","0.26%"
"Data Unavailable","228","1.19%","99","1.77%","327","1.32%"
"TOTAL","19,142","100.00%","5,607","100.00%","24,749","100.00%"
