"PROBATION STATISTICS","","","","","",""
"BY RACE AND SEX","","","","","",""
"RACE","MALE","% OF TOTAL MALE POPULATION","FEMALE","% OF TOTAL FEMALE POPULATION","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Black","12,511","60.95%","2,610","44.06%","15,121","57.17%"
"White","7,759","37.80%","3,231","54.54%","10,990","41.55%"
"Hispanic","148","0.72%","36",".61%","184",".70%"
"Native American","19",".09%","11",".19%","30",".11%"
"Asian","56",".27%","11",".19%","67",".25%"
"Data Unavailable","34",".17%","25",".42%","59",".22%"
"TOTAL","20,527","100.00%","5,924","100.00%","26,451","100.00%"
