"RACE","MALE","% OF TOTAL MALE POPULATION","FEMALE","% OF TOTAL FEMALE POPULATION","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Black","8,855","58.81%","2,404","50.92%","11,259","56.93%"
"White","5,950","39.52%","2,247","47.60%","8,197","41.45%"
"Hispanic","90","0.60%","15","0.32%","105","0.53%"
"Native American","19","0.13%","5","0.11%","24","0.12%"
"Asian","33","0.22%","15","0.32%","48","0.24%"
"Data Unavailable","109","0.72%","35","0.74%","144","0.73%"
"TOTAL","15,056","100.00%","4,721","100.00%","19,777","100.00%"
