"RACE","MALE","% OF TOTAL MALE POPULATION","FEMALE","% OF TOTAL FEMALE POPULATION","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Black","7,364","60.04%","1,930","55.73%","9,294","59.09%"
"White","4,704","38.35%","1,498","43.26%","6,202","39.43%"
"Hispanic","46","0.38%","14","0.40%","60","0.38%"
"Native American","26","0.21%","6","0.17%","32","0.20%"
"Asian","35","0.29%","15","0.43%","50","0.32%"
"Data Unavailable","91","0.74%","0","0.00%","91","0.58%"
"TOTAL","12,266","100.00%","3,463","100.00%","15,729","100.00%"
