"PROBATION STATISTICS","","","","","",""
"BY RACE AND SEX","","","","","",""
"RACE","MALE","% OF TOTAL MALE POPULATION","FEMALE","% OF TOTAL FEMALE POPULATION","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Black","10,022","58.86%","2,654","51.05%","12,676","57.03%"
"White","6,666","39.15%","2,437","46.87%","9,103","40.95%"
"Hispanic","118","0.69%","19","0.37%","137","0.62%"
"Native American","20","0.12%","4","0.08%","24","0.11%"
"Asian","38","0.22%","18","0.35%","56","0.25%"
"Data Unavailabl","164","0.96%","67","1.29%","231","1.04%"
"TOTAL","17,028","100.00%","5,199","100.00%","22,227","100.00%"
