"PROBATION STATISTICS","","","","","",""
"BY RACE AND SEX","","","","","",""
"RACE","MALE","% OF TOTAL MALE POPULATION","FEMALE","% OF TOTAL FEMALE POPULATION","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Black","11,386","58.46%","2,937","50.80%","14,323","56.71%"
"White","7,655","39.31%","2,703","46.76%","10,358","41.01%"
"Hispanic","141","0.72%","24","0.42%","165","0.65%"
"Native American","24","0.12%","6","0.10%","30","0.12%"
"Asian","55","0.28%","18","0.31%","73","0.29%"
"Data Unavailable","214","1.10%","93","1.61%","307","1.22%"
"TOTAL","19,475","100.00%","5,781","100.00%","25,256","100.00%"
