"TOTAL","6,737","100.00%","","1,082","100.00%","7,819","100.00%"
"","","","BY OFFENSE","","","",""
"","","","","","NO. OF","% of TOTAL",""
"","","","OFFENSE","","OFFENDERS","OFFENDERS",""
"","","","Drug","","3,928","50.24%",""
"","","","Property","","3,071","39.28%",""
"","","","Aggravated Assault","","94","1.20%",""
"","","","Violent","","623","7.97%",""
"","","","Sex","","103","1.32%",""
"","","","TOTAL","","7,819","100.00%",""
