"Mississippi Department of Corrections","",""
"","Fact Sheet",""
"","As of May 2, 2016",""
"Aggravated Assault","85","1.11%"
"Violent","617","8.03%"
"Sex","103","1.34%"
"TOTAL","7,679","100.00%"
