"Classification","Female Classification","Percent"
"Minimum - Community","379","18.54%"
"Minimum - Non-Community","431","21.09%"
"Medium","736","36.01%"
"Close","39","1.91%"
"DR","2","0.10%"
"Unclassified","457","22.36%"
"Total","2,044","100.00%"
