"Classification","Male Classification","Percent"
"Minimum - Community","2,627","12.22%"
"Minimum - Non-Community","3,100","14.42%"
"Medium","11,189","52.06%"
"Close","3,183","14.81%"
"DR","46","0.21%"
"Unclassified","1,349","6.28%"
"Total","21,494","100.00%"
