"Facility","Mar","Apr","May","Jun"
"Mississippi State Penitentiary","3,339","3,320","3,289","3,323"
"Central Mississippi Correctional Facility","2,976","2,891","2,778","2,683"
"Youthful Offender Unit","35","37","38","41"
"South Mississippi Correctional Institution","3,217","3,218","3,208","3,177"
"County Jails","1,968","1,930","1,841","1,738"
"Community Work Centers","1,150","1,162","1,151","1,126"
"County/Regional Facilities","4,406","4,392","4,398","4,391"
"Private Prisons","4,343","4,026","4,331","4,290"
"Restitution Centers","11","11","11","13"
"Total","21,474","20,992","21,044","20,781"
"Actual Capacity","24,959","24,959","24,959","25,081"
