"Classification","Black","White","Hispanic","Other","Unknown","Total"
"Minimum - Community","1,687","926","6","8","0","2,627"
"Minimum - Non-Community","1,954","1,122","13","11","0","3,100"
"Medium","7,462","3,574","112","41","0","11,189"
"Close","2,565","595","21","2","0","3,183"
"DR","26","19","0","1","0","46"
"Unclassified","729","603","10","7","0","1,349"
"Total","14,423","6,839","162","70","0","21,494"
