"OFFENSE","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Drug","10,486","37.08%"
"Property","13,466","47.61%"
"Violent","3,280","11.60%"
"Sex","1,051","3.72%"
"TOTAL","28,283","100.00%"
