"OFFENSE","NO. OF OFFENDERS","% of TOTAL OFFENDERS"
"Drug","8,949","38.12%"
"Non-Violent","9,844","41.93%"
"Sex","1,000","4.26%"
"Violent","3,683","15.69%"
"TOTAL","23,476","100.00%"
