"OFFENSE","NO. OF OFFENDERS","% of TOTAL OFFENDERS"
"Drug","10,849","37.27%"
"Property","13,833","47.52%"
"Aggravated Assualt","1,219","4.19%"
"Violent","2,082","7.15%"
"Sex","1,125","3.86%"
"TOTAL","29,108","100.00%"
