"OFFENSE","NO. OF OFFENDERS","% of TOTAL OFFENDERS"
"Drug","9,006","37.99%"
"Non-Violent","9,988","42.13%"
"Sex","1,000","4.22%"
"Violent","3,715","15.67%"
"TOTAL","23,709","100.00%"
