"OFFENSE","NO. OF OFFENDERS","% of TOTAL OFFENDERS"
"Drug","9,046","38.54%"
"Non-Violent","9,683","41.26%"
"Sex","1,027","4.38%"
"Violent","3,713","15.82%"
"TOTAL","23,469","100.00%"
